TIEMPO_EMPRESA,ANALFABETISMO,EDUCACION,GENERO,EDAD,SINDICADO,SEGUNDO_TRABAJO,HORAS_REMUNERADAS,HORAS_NO_REMUNERADAS,EXPERIENCIA,ln_INGRESOS,ING_H,ln_ING_H,INDIGENA,AFRO
3,0,14,1,24,0,0,20,20,4,12.611537753638338,3750,8.229511118964457,0,0
17,0,14,1,53,0,0,48,20,33,14.151982794585487,7291.666666666667,8.894487422557706,0,0
2,0,16,1,30,0,0,48,20,8,14.22097566607244,7812.5,8.963480294044658,0,0
2,0,13,0,52,0,0,48,15,33,14.22097566607244,7812.5,8.963480294044658,0,0
40,0,5,0,55,0,0,40,4,44,14.403297222866392,11250,9.328123407632566,0,0
1,0,11,0,32,0,0,48,1,15,13.71957878501095,4731.90625,8.46208341298317,0,0
12,0,11,0,32,0,0,25,0,15,12.611537753638338,3000,8.006367567650246,0,0
0.8333333333333334,0,13,1,28,0,0,60,4,9,13.38472764187182,2708.3333333333335,7.904088718529828,0,0
5,0,11,1,20,0,0,48,48,3,14.22097566607244,7812.5,8.963480294044658,0,0
3,0,13,0,31,0,0,48,0,12,13.997832114758229,6250,8.740336742730447,0,0
6,0,11,1,37,0,0,48,26,20,13.9108207377686,5729.166666666667,8.653325365740818,0,0
2.5,0,13,1,26,0,0,48,17,7,13.997832114758229,6250,8.740336742730447,0,0
