gender	hand	eyecolor	glasses	california	birthmonth	birthday	birthyear	ageinmonths	height	graduate	oncampus	time	walk	hsclass	HSCA	calculus	AP	cell	ipod	sleep	alcohol	speed	UCLA	book	relax	instructor	tire	Quarter
female	right	brown	no	yes	july	17	1988	242	61	2010	no	35	walk		yes	yes	no	yes	yes	2	2	110		no	sleeping	Davis	rear left	Fall08
male	right	brown	no	yes	feb	12	1988	247	66	2010	yes	15	walk	500	yes	yes	no	yes	yes	8	0	80	40000	no	basketball	Davis	rear right	Fall08
female	right	brown	yes	yes	nov	18	1989	226	63	2011	yes	10	walk	500	yes	yes	no	yes	yes	7	0	85	20000	yes	dance	Davis	rear right	Fall08
male	right	brown	yes	yes	jan	9	1988	248	69	2011	no	30	bus	100	yes	yes	no	yes	yes	6	0	90	500000	yes	Singing	Davis	rear right	Fall08
female	right	brown	yes	yes	oct	18	1988	239	63	2009	no	30	walk	51	yes	no	no	yes	yes	8	0	110	10000	yes	Swimming	Davis	front left	Fall08
female	right	brown	no	yes	nov	11	1988	238	66	2011	yes	30	walk	38	yes	yes	no	yes	yes	8	1	85	35000	yes	gambling	Davis	rear left	Fall08
male	right	brown	yes	yes	june	4	1988	243	69	2025	yes	7	skateboard	600	yes	no	yes	yes	yes	2	25	110	10000	yes	policy debate	Ioudina	front left	Fall08
female	right	brown	yes	no	mar	27	1989	234	67	2011	yes	20	walk	360	yes	yes	no	yes	yes	9	6	95	40000	yes	Playing Sports	Davis	front left	Fall08
male	right	brown	yes	no	july	25	1988	242	66	2010	yes	15	walk	439	no	yes	no	yes	no	7	0	60	20000	no	none	Davis	front right	Fall08
male	right	brown	yes	no	mar	17	1989	234	70	2011	yes	20	walk	230	yes	yes	no	yes	yes	7	2	115	40000	yes	basketball	Davis	rear right	Fall08
female	right	brown	yes	no	nov	12	1988	237	57	2010	no	15	walk	554	yes	yes	no	yes	yes	6	0	100	22000	yes	Cooking	Davis	front left	Fall08
male	right	brown	yes	no	aug	3	1988	241	79	1011	yes	15	walk	700	yes	yes	no	yes	yes	6	0	80	20000	no	pc game	Ioudina	front left	Fall08
male	right	green	yes	no	june	23	1987	255	69	2010	yes	22	walk	952	yes	yes	no	yes	yes	7	5	145	40000	yes	gym	Ioudina	front left	Fall08
female	right	brown	yes	no	oct	18	1989	227	64	2011	yes	15	walk	635	yes	yes	no	yes	yes	6	0	25	100000	yes	Playin computer games, practicing music	Ioudina	rear left	Fall08
female	right	brown	yes	yes	may	24	1988	244	63	2009	yes	15	walk	716	yes	no	no	yes	yes	10	0	110	40000	no	singing	Davis	front left	Fall08
female	right	brown	no	no	sept	3	1988	240	63	2010	no	40	car (by yourself)	500	yes	yes	no	yes	yes	7	0	85	8000	yes	reading	Esfandiari	front right	Fall08
female	right	green	yes	yes	aug	17	1989	229	60	2011	no	30	walk	150	yes	no	no	yes	yes	5	1	90	5000	yes	Watching TV	Davis	rear left	Fall08
female	right	blue	no	yes	jan	28	1989	236	65	2011	yes	18	walk		yes	yes	no	yes	yes	7		88		yes	music	Ioudina	front right	Fall08
male	right	brown	no	yes	may	25	1989	232	72	2011	yes	15	walk	140	no	yes	no	yes	yes	7	1	60	20000	yes	gym	Davis	rear left	Fall08
female	right	blue	no	yes	mar	5	1989	234	63	2011	no	5	walk	650	yes	yes	no	yes	yes	6	8	120	10000	no	traveling	Ioudina	front left	Fall08
female	right	blue	no	yes	mar	12	1989	259	67	2011	yes	15	walk	287	yes	yes	yes	yes	yes	8	0	85	400	yes	listening to music	Ioudina	front right	Fall08
female	right	brown	yes	yes	mar	30	1987	252	60	2009	no	20	walk	500	yes	no	no	yes	yes	7	2	95	10000	yes	reading	Ioudina	front left	Fall08
female	right	brown	no	yes	sept	1	1987	253	66	2009	no	75	car (by yourself)	600	yes	no	yes	yes	yes	8	4	96	2000	yes	reading	Ioudina	front left	Fall08
female	right	brown	yes	yes	may	9	1989	234	61	2011	yes	20	walk	450	yes	yes	yes	yes	no	8	0	80	45000	yes	decorating	Gould	front left	Fall08
female	right	brown	no	yes	oct	4	1989	227	62	2011	yes	20	walk	450	yes	yes	no	yes	yes	6	0	70	20000	yes	playing tennis	Ioudina	front left	Fall08
female	right	brown	yes	yes	mar	11	1989	234	68	2011	no	15	bus	300	yes	yes	no	yes	yes	10	0	0	2300	yes	texting	Ioudina	front right	Fall08
female	right	hazel	no	yes	may	13	1989	232	65	2011	yes	15	walk	79	yes	yes	no	yes	yes	8	3	90	20000	yes	photography	Ioudina	front left	Fall08
female	right	hazel	no	yes	dec	5	1986	261	69	2009	no	30	walk	350	yes	yes	no	yes	yes	7	10	100	20000	yes	going to concerts	Ioudina	rear left	Fall08
male	right	blue	yes	yes	july	22	1989	230	70	2011	yes	20	walk	650	yes	no	no	yes	yes	7	0	60	10000	yes	Running	Davis	front right	Fall08
