"","ESTU_GENERO","FAMI_ESTRATOVIVIENDA","FAMI_PERSONASHOGAR","FAMI_CUARTOSHOGAR","FAMI_TIENEINTERNET","FAMI_NUMLIBROS","ESTU_DEDICACIONINTERNET","ESTU_DEDICACIONLECTURADIARIA","COLE_NATURALEZA","COLE_GENERO","COLE_AREA_UBICACION","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_INGLES","PUNT_GLOBAL"
"569","M","Estrato 3","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",67,74,60,78,335
"570","M","Estrato 3","3 a 4","Tres","Si","0 A 10 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",43,50,50,39,233
"571","M","Estrato 3","3 a 4","Cuatro","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","RURAL",70,61,66,68,337
"572","M","Estrato 3","1 a 2","Tres","Si","26 A 100 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",61,77,71,67,351
"573","M","Estrato 3","3 a 4","Tres","Si","0 A 10 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",65,41,53,63,268
"574","F","Estrato 3","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",70,73,64,69,351
"575","F","Estrato 3","3 a 4","Dos","Si","26 A 100 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","FEMENINO","URBANO",61,66,62,59,315
"576","F","Estrato 3","3 a 4","Tres","Si","0 A 10 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",73,76,66,75,361
"577","M","Estrato 3","5 a 6","Tres","Si","0 A 10 LIBROS","Más de 3 horas","No leo por entretenimiento","NO OFICIAL","FEMENINO","URBANO",60,54,50,48,271
"578","F","Estrato 3","3 a 4","Dos","Si","0 A 10 LIBROS","Más de 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",57,62,57,57,293
"579","M","Estrato 3","3 a 4","Dos","Si","0 A 10 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",72,70,72,69,350
"580","M","Estrato 3","1 a 2","Dos","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","RURAL",54,52,58,57,282
"581","F","Estrato 3","3 a 4","Tres","Si","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",54,35,46,47,226
"582","M","Estrato 3","1 a 2","Dos","Si","11 A 25 LIBROS","Entre 30 y 60 minutos","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",67,59,62,59,313
"583","F","Estrato 3","3 a 4","Dos","Si","MÁS DE 100 LIBROS","Más de 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","RURAL",72,67,74,73,350
"584","M","Estrato 3","5 a 6","Tres","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",69,46,46,62,267
"585","M","Estrato 3","1 a 2","Dos","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",55,43,42,48,245
"586","M","Estrato 3","3 a 4","Cuatro","Si","26 A 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",69,60,61,73,314
"587","M","Estrato 3","3 a 4","Dos","Si","26 A 100 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MASCULINO","URBANO",79,76,72,73,381
"588","F","Estrato 3","3 a 4","Uno","Si","11 A 25 LIBROS","30 minutos o menos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",56,54,48,58,267
"589","M","Estrato 3","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",70,65,72,70,343
"590","M","Estrato 3","3 a 4","Dos","Si","0 A 10 LIBROS","Entre 1 y 3 horas","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",64,64,59,68,303
"591","F","Estrato 3","3 a 4","Tres","Si","26 A 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",66,72,61,73,336
"592","M","Estrato 3","1 a 2","Dos","Si","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",73,76,73,78,363
"593","F","Estrato 3","1 a 2","Dos","Si","11 A 25 LIBROS","30 minutos o menos","Más de 2 horas","NO OFICIAL","MIXTO","URBANO",51,43,57,62,255
"594","M","Estrato 3","3 a 4","Dos","Si","MÁS DE 100 LIBROS","Más de 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",61,62,61,68,309
"595","M","Estrato 3","3 a 4","Tres","Si","0 A 10 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",73,53,67,75,325
"596","F","Estrato 3","3 a 4","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",71,62,69,77,335
"597","M","Estrato 3","5 a 6","Seis o mas","Si","11 A 25 LIBROS","Entre 1 y 3 horas","Entre 30 y 60 minutos","NO OFICIAL","MIXTO","URBANO",70,76,68,61,356
"598","M","Estrato 3","5 a 6","Cinco","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",75,68,78,80,370
"599","F","Estrato 3","3 a 4","Dos","Si","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","NO OFICIAL","FEMENINO","URBANO",54,58,58,64,280
"600","F","Estrato 3","3 a 4","Tres","Si","26 A 100 LIBROS","Más de 3 horas","Entre 1 y 2 horas","NO OFICIAL","MIXTO","URBANO",69,61,65,62,322
"601","M","Estrato 3","5 a 6","Tres","Si","11 A 25 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",48,33,49,45,211
"602","M","Estrato 3","3 a 4","Dos","Si","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","30 minutos o menos","NO OFICIAL","MIXTO","URBANO",56,50,47,54,262
"603","F","Estrato 3","9 o más","Cuatro","No","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 1 y 2 horas","NO OFICIAL","FEMENINO","URBANO",68,60,63,70,326
"604","M","Estrato 3","3 a 4","Tres","Si","MÁS DE 100 LIBROS","Entre 1 y 3 horas","No leo por entretenimiento","NO OFICIAL","MIXTO","URBANO",75,83,75,72,376
